age,gender,race,highest_grade,tertiary_edu,province_current,province_moved,province_before,province_during
40.0,Man,African/Black,Grade 9,No,Gauteng,No,,
55.0,Woman,African/Black,Grade 12,No,Gauteng,No,,
37.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
38.0,Woman,African/Black,Grade 8,,Gauteng,No,,
47.0,Woman,African/Black,Grade 7,,Gauteng,Yes,Gauteng,Gauteng
53.0,Woman,African/Black,Grade 2,,Gauteng,No,,
54.0,Man,African/Black,Grade 5,,Gauteng,No,,
42.0,Man,African/Black,Grade 8,,Gauteng,No,,
40.0,Woman,African/Black,Grade 11,No,Gauteng,No,,
39.0,Woman,African/Black,Grade 10,No,Gauteng,No,,
59.0,Woman,African/Black,Grade 10,No,Gauteng,No,,
28.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
46.0,Woman,African/Black,Grade 7,,Gauteng,No,,
32.0,Man,African/Black,Grade 11,No,Mpumalanga,No,,
49.0,Woman,African/Black,Grade 12,No,Mpumalanga,No,,
71.0,Man,African/Black,Grade 8,,Gauteng,No,,
39.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
46.0,Woman,African/Black,Grade 7,,Mpumalanga,No,,
44.0,Woman,African/Black,Grade 12,No,Mpumalanga,No,,
,Woman,African/Black,Grade 0,,Mpumalanga,No,,
31.0,Man,African/Black,Grade 12,No,Mpumalanga,No,,
43.0,Woman,African/Black,Grade 10,No,North West,No,,
29.0,Woman,African/Black,Grade 10,No,Free State,No,,
52.0,Woman,African/Black,Grade 10,No,Gauteng,No,,
47.0,Man,African/Black,Grade 12,No,Mpumalanga,No,,
37.0,Man,African/Black,Grade 9,No,Limpopo,No,,
46.0,Woman,African/Black,Grade 12,No,Gauteng,No,,
41.0,Woman,African/Black,Grade 11,No,Western Cape,No,,
59.0,Man,African/Black,Grade 7,,Mpumalanga,No,,
35.0,Woman,African/Black,Grade 12,No,Mpumalanga,No,,
,Woman,African/Black,Grade 12,Yes,Mpumalanga,No,,
,Woman,African/Black,Grade 0,,Mpumalanga,No,,
56.0,Woman,African/Black,Grade 9,No,North West,No,,
30.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
28.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
28.0,Woman,African/Black,Grade 11,No,Northern Cape,No,,
31.0,Man,African/Black,Grade 11,Yes,Gauteng,No,,
36.0,Woman,African/Black,Grade 11,No,Northern Cape,No,,
32.0,Woman,African/Black,Grade 12,No,Western Cape,Yes,Northern Cape,Northern Cape
41.0,Woman,African/Black,Grade 12,No,Northern Cape,No,,
47.0,Woman,African/Black,Grade 11,Yes,Northern Cape,No,,
36.0,Woman,African/Black,Grade 12,No,Northern Cape,No,,
28.0,Woman,African/Black,Grade 12,Yes,Northern Cape,No,,
,Woman,African/Black,Grade 12,No,Northern Cape,No,,
38.0,Woman,African/Black,Grade 12,No,Northern Cape,No,,
40.0,Woman,African/Black,Grade 12,No,Northern Cape,No,,
61.0,Woman,African/Black,Grade 8,,Northern Cape,No,,
36.0,Man,African/Black,Grade 11,No,Northern Cape,No,,
32.0,Woman,African/Black,Grade 11,No,Northern Cape,No,,
31.0,Man,African/Black,Grade 11,No,Gauteng,No,,
50.0,Woman,African/Black,Grade 9,No,Gauteng,No,,
38.0,Man,African/Black,Grade 12,No,Gauteng,No,,
40.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
48.0,Man,African/Black,Grade 12,No,Limpopo,No,,
50.0,Woman,African/Black,Grade 11,No,Limpopo,No,,
40.0,Woman,African/Black,Grade 10,No,Limpopo,No,,
56.0,Man,African/Black,Grade 8,,Limpopo,No,,
47.0,Woman,African/Black,Grade 7,,Limpopo,No,,
27.0,Man,African/Black,Grade 10,No,Limpopo,No,,
32.0,Woman,African/Black,Grade 12,Yes,Limpopo,No,,
52.0,Woman,African/Black,Grade 12,Yes,North West,No,,
,Woman,African/Black,None,,Gauteng,No,,
68.0,Woman,African/Black,Grade 6,,Limpopo,No,,
40.0,Woman,African/Black,Grade 11,No,Limpopo,No,,
44.0,Woman,African/Black,Grade 11,No,Limpopo,No,,
35.0,Woman,African/Black,Grade 10,No,Limpopo,No,,
51.0,Woman,African/Black,Grade 8,,Limpopo,No,,
30.0,Man,African/Black,Grade 11,No,Limpopo,No,,
57.0,Man,African/Black,Grade 7,,Limpopo,No,,
29.0,Woman,African/Black,Grade 12,No,Gauteng,No,,
35.0,Woman,African/Black,Grade 11,No,Limpopo,No,,
76.0,Woman,African/Black,Grade 3,,Gauteng,No,,
29.0,Woman,African/Black,Grade 12,No,Limpopo,No,,
32.0,Man,African/Black,Grade 12,No,Mpumalanga,Yes,Mpumalanga,Mpumalanga
45.0,Woman,African/Black,Grade 12,No,Limpopo,No,,
46.0,Woman,African/Black,Grade 11,No,Limpopo,No,,
30.0,Man,African/Black,Grade 12,Yes,Limpopo,Yes,Limpopo,Limpopo
58.0,Woman,African/Black,Grade 12,Yes,North West,No,,
34.0,Man,African/Black,Grade 12,No,Limpopo,No,,
47.0,Woman,African/Black,Grade 11,No,Mpumalanga,No,,
58.0,Man,African/Black,Grade 12,No,Limpopo,No,,
31.0,Man,African/Black,Grade 11,No,Gauteng,No,,
31.0,Woman,African/Black,NTC 2,No,Limpopo,No,,
51.0,Woman,African/Black,Grade 4,,Gauteng,No,,
38.0,Man,African/Black,Grade 11,No,Gauteng,No,,
34.0,Man,African/Black,Grade 11,No,Gauteng,No,,
33.0,Man,African/Black,Grade 10,No,Gauteng,No,,
67.0,Woman,African/Black,Grade 12,No,Gauteng,No,,
51.0,Woman,African/Black,Grade 12,No,Limpopo,No,,
